track_name,lyrics
You Only Live Once,"Some people think they're always right Others are quiet and uptight Others, they seem so very nice-nice-nice-nice, oh Inside they might feel sad and wrong, oh no Twenty-nine different attributes Only seven that you like, oh Twenty ways to see the world, oh And twenty ways to start a fight, oh Oh, don't, don't, don't get up! I can't see the sunshine I'll be waiting for you, baby 'Cause I'm through Sit me down! Shut me up I'll calm down And I'll get along with you Oh, men don't notice what they got Oh, women think of that a lot One thousand ways to please your man, oh Not even one requires a plan, I know And countless odd religions too It doesn't matter which you choose, oh no One stubborn way to turn your back, oh This I've tried and now refuse, oh Oh, don't, don't, don't get up! I can't see the sunshine Oh, I'll be waiting for you, baby 'Cause I'm through Sit me down! Shut me up I'll calm down And I'll get along with you, alright Shut me up Shut me up And I'll get along with you"
Juicebox,"Everybody sees me, but it's not that easy Standing in the light field, standing in the light field Waiting for some action, waiting for some action over Why won't you come over here? Why won't you come over here? We got a city to love Why won't you come over here? We got a city to love Old time grudges Will die so slowly I know you miss the Way I saw you You're cold, you're so cold You're so cold, you're so cold Nobody can see me, everything's too easy Standing in the light field, standing in the light field Waiting for some actress, waiting for some actress to say ""Why won't you come over here?"" Why won't you come over here? We got a city to love Why won't you come over here? We got a city to love Old time love song Will die so swiftly You never trust me For a while, it was nice, but it's time to say bye I'm cold, you're so cold You're so cold, you're so cold No-no-no, cold, you're so cold You're so cold, you're so cold Oh no-no-no-no, cold, you're so cold You're so cold, you're so cold No, no, you're so cold"
Heart In a Cage,"Well, I don't feel better when I'm fucking around And I don't write better when I'm stuck in the ground So don't teach me a lesson 'cause I've already learned Yeah, the sun will be shining and my children will burn Oh, the heart beats in its cage I don't want what you want, I don't feel what you feel See, I'm stuck in a city but I belong in a field Yeah, we got left, left, left, left, left, left, left Now it's three in the morning and you're eating alone Oh, the heart beats in its cage All our friends, they're laughing at us All of those you loved, you mistrust Help me, I'm just not quite myself Look around, there's no one else left I went to the concert and I fought through the crowd Guess I got too excited when I thought you were around Oh, he gets left, left, left, left, left, left, left And I'm sorry you were thinking I would steal your fire Oh, the heart beats in its cage Yes, the heart beats in its cage And the heart beats in its cage"
Razorblade,"Oh, the razorblade, that's what I call love I bet you'd pick it up and mess around with it if I put it down It gets extremely complicated Anything to forget everything You've got to take me out at least once a week Whether I'm in your arms or I'm at your feet I know exactly what you're thinking You won't say it now, but in your heart it's loud ""Oh no, my feelings are more important than yours Oh, drop dead, I don't care, I won't worry,"" there you go Oh, the razorblade, wish it would snap this rope The world is in your hand or it's at your throat At times it's not that complicated Anything to forget everything He would never talk but he was not shy She was a street-smart girl but she could not lie They were perfect for each other Say it now, 'cause in your heart it's loud ""Oh no, my feelings are more important than yours Oh, drop dead, I don't care, I won't worry,"" hey (I loved you Before I saw you) Sweetheart, your feelings are more important, of course Of course Everyone that wanted everything that we would take from them I don't wanna know, I don't wanna know Tell me, tell me, tell me, tell me, no, don't, okay"
On the Other Side,"I'm tired of everyone I know Of everyone I see On the street and on TV, yeah On the other side, on the other side Nobody's waiting for me on the other side I hate them all, I hate them all I hate myself for hating them So I'll drink some more, I love them all I'll drink even more, I'll hate them even more than I did before On the other side, on the other side Nobody's waiting for me on the other side I remember when you came You taught me how to sing Now, it seems so far away You taught me how to sing I'm tired of being So judgmental of everyone I will not go to sleep, I will train my eyes to see That my mind is as blind as a branch on a tree On the other side, on the other side I know what's waiting for me on the other side On the other side, on the other side I know you're waiting for me on the other side"
Vision of Division,"Sing me a song, you could be Tell me a tale, just like me Don't turn it my way, happy and free I'll turn it to shit, happy and free, oh All that I do is wait for you All that I do is wait for you I can't get along with all your friends Don't know how to act, that's all there is Why do I accept the things you say? You know what to change but not in what way How long must I wait? How long must I wait? How long must I wait? How long must I wait? How long must I wait? I am not you, we could have I'm almost through, great success It's about time, such a success That you came through, at no expense, oh Oh, all that I do is wait for you All that I do is wait for you I can't get away from all your friends I'm not coming back, that's all there is Why do I accept the things you say? You know what to change but not in what way How long must I wait? How long must I wait? How long must I wait? How long must I wait? How long must I wait?"
Ask Me Anything,"Right, wrong, what to do—someday, it will come to you Hostile Indians, we named a summer camp for you I've got nothing to say, I've got nothing to say I've got nothing to say, I've got nothing to say I've got nothing to say, I've got nothing to say I've got nothing to say, I'm in utter dismay, I've got nothing to say Harmless children, we named our soldiers after you Don't be a coconut, God is trying to talk to you We could drag it out, but that's for other bands to do I've got nothing to say, I've got nothing to say I've got nothing to say, I've got nothing to say I've got nothing to give, got no reason to live But I will fight to survive, I've got nothing to hide, wish I wasn't so shy I'd like to watch, I'd like to read I'd like a part, I'd like the lead But I've got nothing to say, I've got nothing to say I've got nothing to say, I've got nothing to say I've got nothing to give, got no reason to live Oh, I'll kill to survive, I've got nothing to hide, wish I wasn't so shy"
Electricityscape,"Oh, with strangers to impress so near Old friends don't realize I'm here I wish two drinks were always in me I'd pretend I had the perfect ear Take me to the water Make me understand that I was wrong For me, tomorrow is my first day So please, don't tempt me in the wrong way It's almost after midnight I can see the city lights, we're here Change your mind tonight You belong to the city now And you're closer now, I know You belong on the radio Well, I swear I'll give it back tomorrow But for now I think that I'll just borrow All the chords from that song And all the words from that other song I heard yesterday Change your mind, tonight You belong to the city now And you're closer now, I know You belong on the radio I will not disturb you I was just returning you the compliment"
Killing Lies,"Say a prayer now, don't be scared now You don't want trouble, well, we might get some We might get some, it's troublesome But don't you worry, you can help me Killing lies, killing lies Killing lies, killing lies First you're worried, then you're hurried Don't think that everything is gonna stay the same, that's impossible Before I let you go, let me look at you Don't you worry, you will help me Killing lies, killing lies Killing lies, killing lies Oh yes, I noticed you, you are a friend of mine Oh yes, I noticed you, you are a friend of mine You're mine"
Fear of Sleep,"How did anybody find out where I was? How did anybody find that out? I was hiding from the world, I was a squirrel But you chopped down my tree to get my fur Fear of sleep, fear of sleep, the fear of sleep Fear of sleep, fear of sleep, fear of sleep Oh, fear of sleep, can't you wait? I'm not done Fear of sleep, here you come Fall asleep, fall asleep, fall asleep You're no fun, you're no fun You're no fun, you're no fun, you're no fun You're no fun, you're no fun You're no fun, you're no fun, you're no fun I guess everybody's week must have been pretty rough 'Cause everybody is drunk, loud and pissed off I know you hate to be impressed with someone else, other than yourself But you know, trying to hold back on being an asshole helps Fear of sleep, fear of sleep, fear of sleep Fear of sleep, where'd you go? Fear of sleep Oh, fear of sleep, so you know, I'm not done Here we go, here you come Fall asleep, fall asleep, fall asleep You're no fun, you're no fun You're no fun, you're no fun, you're no fun You're no fun, you're no fun You're no fun, you're no fun, you're no fun You're no fun, you're no fun You're no fun, you're no fun, you're no fun You're no fun, you're no fun"
Ize of the World,"I think I know what you mean, but watch what you say 'Cause they'll be trying to knock you down in some way Sometimes it feels like the world is falling asleep How do you wake someone up from inside a dream? Your mind would wander and search for its place in the night Your body followed this feeling like following light Once that your music was born, it followed you 'round And then it gave your activities meaning and let you be loud You're sad but you smile, it's not in your eyes Your eyeballs don't change, it's the muscles around your eyes An egg to fertilize A pulse to stabilize A body to deodorize A life to scrutinize A child to criticize Young adults to modernize! Citizens to terrorize Generations to desensitize Your dreams are sweet and obsessed and you're overworked You're over taken by visions of being overlooked How disappointed would D.I.D.I.P.P. be To see such our power in our hands all wasted on greed? Am I a prisoner to instincts or do my thoughts just live As free and detached as boats to the dock? Just like the music was born and detached from your heart Is your free time to free minds or for falling apart? Night after night, you turn off the light You don't fall asleep right away, ""Are we, are we done?"" A desk to organize A product to advertise A market to monopolize Movie stars to idolize Leaders to scandalize Enemies to neutralize No time to apologize Fury to tranquilize! Weapons to synchronize Cities to vapori–"
Evening Sun,"They love you or they hate you, but they will never let you be They'll thrill you or sedate you, but they will never let you see In the evening sun Amber evening sun Encourage and derange you, watch you walking scared alone Despite intimidation, pleased to watch you dance alone In the evening sun Amber evening sun Go your separate way now Someday you'll come back And I'll be dreaming I was sunburned I don't wanna break your heart in Break your heart in two halves Keep one half and give one half to me I like the summer, miss the summer Tell me, what'd you do? Nothing? Me, too All actors they're pretending and singers they will sometimes lie Kids are always honest 'cause they don't think they're ever gonna die Oh, you're the prettiest, smartest captain of the team I love you more than being seventeen In the evening sun Amber evening sun In the evening sun"
Red Light,"Two could be complete without the rest of the world Two could be complete without the rest of the world Do it for the people that have died for your sake An entire generation that has nothing to say How'd you make your way to me? Oh, let's say you made a deal with me And I got your name and your home address Oh, you're all trashed up with your big red belt I would almost say that you might need help I could drop you off at the next red light If it don't make sense or it don't feel right All the girls could never make me love them the way I love you Can't you see the sky is not the limit no more? I can see the elevator crash through the floor I can still see yesterday, sailing away Seven billion people who got nothing to say Are you coming on to me? Well, I saw your face, then I heard that song It was so inviting, it hurt my bones Well, it looks like you but your eyes are gray And your hair is gone but your mind's okay Yes, I like your smile but your forehead's cold I don't want you to be afraid and go I would cheat and lie and steal, now I'll stay at home and kneel for you I was waiting for my baby to arrive Right by my side Oh, please, leave me alone tonight Forget the past Two could be complete without the rest of the world Oh, you know I said it just to get you to laugh Do it for the people that have died for your sake An entire generation of entertainers to blame The light is red, the camera's on Get yourself a lawyer and a gun Hate your friend's new friends like everyone Childhood's end can be so competitive Oh, the sky's not the limit and you're never gonna guess what is, oh"
What Ever Happened?,"I wanna be forgotten And I don't wanna be reminded You say, ""Please don't make this harder"" No, I won't yet I wanna be beside her She wanna be admired You say, ""Please don't make this harder"" No, I won't yet Oh, dear, is it really all true? Did they offend us and they want it to sound new? Top ten ideas for countdown shows Whose culture is this and does anybody know? I wait and tell myself, ""life ain't chess"" But no one comes in and yes, you're alone You don't miss me, I know Oh, Tennessee, what did you write? I come together in the middle of the night Oh, that's an ending that I can't write 'Cause I've got you to let me down I wanna be forgotten And I don't want to be reminded You say, ""Please don't make this harder"" No, I won't yet I wanna be beside her She wanna be admired I said, ""Please don't make this harder"" No, I won't yet"
Reptilia,"He seemed impressed by the way you came in ""Tell us a story, I know you're not boring"" I was afraid that you would not insist ""You sound so sleepy, just take this, now leave me"" I said please don't slow me down if I'm going too fast You're in a strange part of our town Yeah, the night's not over, you're not trying hard enough Our lives are changing lanes, you ran me off the road The wait is over, I'm now taking over You're no longer laughing, I'm not drowning fast enough Now every time that I look at myself ""I thought I told you, this world is not for you"" The room is on fire as she's fixing her hair ""You sound so angry, just calm down, you found me"" I said please don't slow me down if I'm going too fast You're in a strange part of our town Yeah, the night's not over, you're not trying hard enough Our lives are changing lanes, you ran me off the road The wait is over, I'm now taking over You're no longer laughing, I'm not drowning fast enough"
Automatic Stop,"So many fish there in the sea I wanted you, you wanted me That's just a phase, it's got to pass I was a train moving too fast Didn't understand what to see Yeah, then I got a different view It's you... no Wait, I'm not gonna give it a break I'm not your friend, I never was I said wait, I'm not gonna give it a break I'm not your friend, I never was, no So many fish there in the sea She wanted him, he wanted me That's just a phase, it's got to pass I was a train moving too fast Yeah, I know you warned me but this is too important Now I got a different view It's you Why can't you wait? I'm not gonna give it a break I'm not your friend, I never was I said wait, I'm not gonna give it a break I'm not your friend, I never was"
You Talk Way Too Much,"Now we're out of time I said it's my fault, it's my fault Can't make good decisions It won't stop, I can't stop Give me some time, I just need a little time Give me some time, I just need a little time Give me some time, I just need a little time Give me some time, I just need a little time You talk way too much You talk way too much It's only the end It's only the end, hey We don't get the news He says why not? Why not? Forget what you heard 'Cause it won't stop, it won't stop Give 'em some time, they just need a little time Give 'em some time, they just need a little time Give 'em some time, they just need a little time Give 'em some time, they just need a little time You talk way too much You talk way too much It's only the end It's only the end as you know it ""You're not supposed to say that You taught me too much"" Is this how it ends? Is this how it ends?"
Between Love & Hate,"Watched her as she wiped her eyes You don't make me sorry Now I know that you never listened – listen Thinking about that high school dance Worrying about the finals Yes I know, you're feeling lonely Oh lonely, so lonely Never needed anybody, I never needed anybody I never needed anybody, I never needed nobody Don't worry about it, honey I never needed anybody I never needed anybody, it won't change now Am I wrong? Don't sing along with me I said I was fine It's just the second time we lost the war She'd be in the kitchen, I would start the fire Oh, those days are gone But you know I can't give up – give up P.S. If I may ask why, when will they get tired? We've stayed up all night trying – trying Never needed anybody, I never needed nobody I never needed anybody, I never needed anybody Don't worry about it, honey I never needed anybody I never needed anybody, it won't change now Am I wrong? Don't sing along with me I said I was fine The second time we lost the war I guess it's the end"
Meet Me in the Bathroom,"When they say promises, they mean promises They'd say, ""That's okay, long as we can celebrate"" You see, my uncle would say Things would change when he's dead ""Meet me in the bathroom"", that's what she said I don't mind, it's true, hey Never was on time, yes, I once was mine Well, that was long ago and, darling, I don't mind Yeah, we were just two friends in lust And, baby, that just don't mean much Oh yeah, you trained me not to love After you showed me what it was Now she's staring wide-eyed, I can't close her eyes (Say what?) Anywhere is fine, just don't waste my time Oh, you see, my uncle would say Things would change once he's dead ""Meet me in the bathroom"", that's what she said I don't mind, it's true Never was on time, yes, I once was mine Well, that was long ago and darling, I don't mind Yeah, they were just two fucks in lust Oh, baby, that just don't mean much Oh yeah, you trained me not to love After you taught me what it was"
Under Control,"I don't wanna waste your time I don't wanna waste your time I just wanna say I've got to say We worked hard, darling We don't have no control We're under control I don't wanna do it your way I don't wanna do it your way I don't wanna give it to you, your way I don't want to know... I don't wanna change your mind I don't wanna change the world I just wanna watch it go by– I just wanna watch you go by We were young, darling We don’t have no control We’re out of control I don't wanna do it your way I don't wanna do it your way I don't wanna give it to you, your way I don't want to know... I don't wanna change your mind I don't wanna waste your time I just wanna know you're alright I've got to know you're alright You are young, darling For now, but not for long Under control"
The Way It Is,"She was still sleeping, the problem will stay One more day Said she's not sorry the wind blows her way Accidents happen, there's one planned today Oh you see I wish it was not true, but that's the way it is It's not your fault, that's the way it is I'm sick of you, and that's the way it is And will always be Wednesday is over, it's over again Said my goodbyes to the life we won't spend Together I wish it was not true, but that's the way it is It's not your fault, that's the way it is I'm sick of you, and that's the way it is But that's not your problem That's not a problem That's not my problem That's not your problem"
The End Has No End,"One by one, ticking time bombs won It's not the secrets of the government that's keeping you dumb Oh, it's the other way around — wait, what's that sound? One by one, baby, here they come He wants it easy, he want it relaxed Said I can do a lot of things, but I can't do that Two steps forward then three steps back, alright ""Won't you take a walk outside?"" Oh no ""Can't you find some other guy?"" Oh no ""One-nine-six-nine, what's that sound?"" Oh no Keeping down the underground, oh no The end has no end, the end has no end The end has no end, the end has no end He want it easy, he want it relaxed Said I can do a lot of things, but I can't do that Two steps forward then three steps back It won't be easy ""Won't you take a walk outside?"" Oh no ""Can't you find another guy?"" Oh no ""One-nine-six-three, what's that sound?"" Oh no Keeping down the underground, oh no The end has no end, the end has no end The end has no end, the end has no end The end has no end, the end has no end The end has no end, the end has no end"
I Can't Win,"That was you up on the mountain All alone and all surrounded Walking on the ground you're breaking Laughing at the life you're wasting One, two tries won't do it You do it all your life and you never get through it Everything they had to say Had been erased in just one day ""Good try, we don't like it"" ""Good try, we won't take that shit"" Oh, I can't win Things in bars that people do When no one wants to talk to you Failing can be quite a breeze He told me that these girls were easy Happy that you said you'd mount me Felt unlucky when you found me Some nights come up empty handed Yes, I'll take it Wait now, by the sidewalk Hold on, yes, I'll be right back Oh, I can't win Yeah, I wait for something ""Cool it, we won't take that shit"" ""Good try, we don't like it"" Hold on, yes, I'll be right back"
Is This It,"Can't you see I'm trying? I don't even like it I just lied to get to your apartment Now I'm staying there just for a while I can't think 'cause I'm just way too tired Is this it? Is this it? Is this it? Said they'd give you anything you ever wanted When they lied, I knew it was just stable Children trying hard not to realize I was sitting right behind you Dear, can't you see? It's them, it's not me We're not enemies, we just disagree If I was like him, all pissed in this bar He changes his mind, says I went too far We all disagree, I think we should disagree, yeah Is this it? Is this it? Is this it? Can't you see I'm trying? I don't even like it I just lied to get to your apartment Now I'm staying there just for a while I can't think 'cause I'm just way too tired"
The Modern Age,"Up on a hill, here's where we begin This little story, a long time ago Start to pretend, stop pretending It seems this game is simply never-ending Oh, in the sun, sun, having fun, it's in my blood I just can't help it Don't want you here right now, let me go Oh, let me g-g-g-g-g-g-g-go Leaving just in time, stay there for a while Rolling in the ocean, trying to catch her eye Work hard and say it's easy, do it just to please me Tomorrow will be different, so I'll pretend I'm leaving I feel so different now, we trained at A-V-A I wish you hadn't stayed, my vision's clearer now but I'm unafraid Flying overseas, no time to feel the breeze I took too many varieties Oh, in the sun, sun, having fun, it's in my blood I just can't help it Don't want you here right now, let me go, woo! Darling, let me g-g-g-g-g-g-g-go Leaving just in time, stay there for a while Rolling in the ocean, trying to catch her eye Work hard and say it's easy, do it just to please me Tomorrow will be different, so this is why I'm leaving"
Soma,"Soma is what they would take when Hard times opened their eyes Saw pain in a new way High stakes for a few names Racing against sunbeams Losing against fig trees In your eyes And I am Stop And go In your eyes See, I am Stop And go In your eyes Let's go When I saw her for the first time Lips moved as her eyes closed Heard something in his voice ""And I'll be there,"" he says Then he walks out Somehow he was trying Too hard to be like them And I am Stop And go In your eyes And I am Stop Oh, darling let me go Tried it once and they liked it And tried to hide it Says, ""I've been doing this twenty-five years"" Well, I'm not listening no more And these friends, they keep asking for more Oh, yeah, oh, but that's it"
Barely Legal,"I didn't take no shortcuts I spent the money that I saved up Oh, mama running out of luck But like my sister, don't give a fuck I wanna steal your innocence To me, my life, it don't make any sense These strange manners, I love 'em so Why won't you wear your new trenchcoat? I should have worked much harder I should have just not bothered I never show up on weekdays And something that you learned yesterday Drive you to work and you'll be on time These little problems, they're not yours, they're mine Come on, listen to what I say I've got some secrets that'll make you stay I just want to turn you down I just want to turn you around Oh, you ain't never had nothing I wanted, but I want it all, I just can't figure out Nothing And all together, it went well We made pretend, we were best friends Then she said, ""Oh, you're a freak"" They ordered me to make mistakes Together again, like the beginning It all works somehow in the end The things we did, the things you hide But for the record, it's between you and I Oh, I didn't take no shortcuts I spent the money that I saved up Oh, mama running out of luck And like my sister, don't give a fuck I wanna steal your innocence To me, my life, it just don't make any sense Oh, strange manners, I love 'em so Why won't you wear your new trenchcoat? I just want to misbehave I just want to be your slave Oh, you ain't never had nothing I wanted, but I want it all, I just can't figure out Nothing And all together, it went well We made pretend, we were best friends Then she said, ""Oh, I can wait"" They ordered me to make mistakes Together again, like the beginning It all works somehow in the end The things we did, the things you hide But for the record, it's between you and I"
Someday,"In many ways, they'll miss the good old days Someday, someday Yeah, it hurts to say, but I want you to stay Sometimes, sometimes When we was young, oh man, did we have fun Always, always Promises, they break before they're made Sometimes, sometimes Oh, Maya says I'm lacking in depth I will do my best You say you wanna stand by my side Darling, your head's not right I see alone we stand; together we fall apart Yeah, I think I'll be alright I'm working so I won't have to try so hard Tables, they turn sometimes Oh, someday No, I ain't wasting no more time (Trying, trying) And now my fears, they come to me in threes So I sometimes Say, ""Fate, my friend, you say the strangest things I find sometimes"" Oh, Maya says I'm lacking in depth Shit, I will try my best You say you wanna stay by my side Darling, your head's not right I see alone we stand; together we fall apart Yeah, I think I'll be alright I'm working so I won't have to try so hard Tables, they turn sometimes Oh, someday I ain't wasting no more time"
"Alone, Together","No choice now, it's too late Let him go, he gave up I gave up Lisa said, ""Take time for me"" Dropping him down to his knees Ah, chest down Take me away, see, I've got to explain Things, they have changed in such a permanent way Life seems unreal, can we go back to your place? Oh, ""you drink too much"" makes me drink just the same People tried, felt so right Giving themselves good advice Looking down sometimes felt nice He knows it's justified to kill to survive He then, in dollars, makes more dead than alive Let's suck more blood, let's run three hours a day The world is over but I don't care 'Cause I am with you, now I've got to explain Things, they have changed in such a permanent way Life seems unreal, can we go back to your place? Oh, ""You drink too much"" makes me drink just the same The first time, it happened too fast The second time, I thought it would last We all like it a little different"
Last Nite,"Last night, she said ""Oh, baby, I feel so down Oh, it turns me off When I feel left out"" So I, I turned 'round Oh, baby, don't care no more I know this for sure I'm walking out that door Well, I've been in town for just 'bout fifteen, oh, minutes now And baby, I feel so down And I don't know why I keep walking for miles And say, people, they don't understand No, girlfriends, they can't understand Your grandsons, they won't understand On top of this, I ain't ever gonna understand Last night, she said ""Oh, baby, don't feel so down Oh, it turns me off When I feel left out"" So I, I turned 'round Oh, baby, gonna be alright It was a great big lie 'Cause I left that night, yeah Oh, people, they don't understand No, girlfriends, they don't understand In spaceships, they won't understand And me, I ain't ever gonna understand Last night, she said ""Oh, baby, I feel so down See, it turns me off When I feel left out"" So I, I turned 'round Oh, little girl, I don't care no more I know this for sure I'm walking out that door, yeah"
Hard To Explain,"Was an honest man Asked me for the phone, tried to take control Oh, I don't see it that way I don't see it that way We shared some ideas All obsessed with fame, says we're all the same Oh, I don't see it that way I don't see it that way Raised in Carolina I'm not like that Trying to remind her When we go back I missed the last bus, I'll take the next train I'll try, but you see, it's hard to explain I say the right thing but act the wrong way I like it right here, but I cannot stay I'm watching TV, forget what I'm told Well, I am too young and they are too old The joke is on you, this place is a zoo You're right, it's true He said he can't decide I shake my head to say, ""everything's just great"" Oh, I just can't remember I just can't remember Raised in Carolina She says, ""I'm not like that"" Trying to remind her When we go back I say the right thing but act the wrong way I like it right here, but I cannot stay I'm watching TV, forget what I'm told Well, I am too young and they are too old Oh man, can't you see, I'm nervous, so please Pretend to be nice so I can be mean I missed the last bus, we'll take the next train I'll try, but you see, it's hard to explain"
When It Started,"Won't decide, but he won't debate Said, ""Thanks my friend, thought it was too late"" Oh, why, oh, why? I don’t know So you think things move pretty fast down here? Well, just wait, my dear, 'til you look up there Oh, maybe someday you’ll know Had his second kid, was an early night Got to be well-dressed, 'cause he hates to fly Oh, loves his job, takes it home Anything they wanted They could have it, have it Didn't even notice I don't mind it, mind it Won't decide, but he won't debate Said, ""Thanks my friend, thought that we was dead"" Oh why, oh, why? I don't know Think things move pretty fast down here? But just wait, my dear, 'til we get up there Oh, maybe someday, they'll know Come on, tell me does she warm the room When he comes? Or does he just know How to leave when it gets cold? Well, I don't care, I don't care 'Cause it's free"
Trying Your Luck,"You said you couldn't stay You've seen it all before, I know And sold you on their way Oh, honey, that's okay No harm, he's armed Setting off all your alarms When I find out I hope it's you who set this trap And store fronts rarely change At least I'm on my own again Instead of anywhere with you Oh, tell me it's all the same And I've lost my page again I know this is surreal, but I'll try my luck with you Oh, this life is on my side, oh, I am your one Believe me, this is a chance, oh, oh Let's see what is for sale He's trying not to give his job a chance Oh, it's never gonna be It's sad, but I agree The signals don't seem right It lasts for just one night and then I'm sorry that I said That we were just good friends No harm, he's armed Setting off all your alarms Entranced, I can't be here in time I'll think about that And I've lost my page again I know this is surreal, but I'll try my luck with you Oh, this life is on my side, oh, I am your one Believe me, oh, this is a chance, oh, oh"
Take It Or Leave It,"Leave me alone I'm in control, I'm in control And girls act too much and boys act too tough Enough is enough Well, on the minds of other men, I know she was I said just take it or leave it And take it or leave it, and take it or leave it And take it or leave it, oh, just take it or leave it And take it or leave it, oh, take it I say, oh, he's gonna let you down He's gonna let you down, he's gonna let you down And gonna break your back for a chance And gonna steal your friends, if he can He's gonna win someday I fell off the track, now I can't go back I'm not like that Boys act too much, girls act too tough Enough is enough Well, on the minds of other girls, I know he was I said just take it or leave it And take it or leave it, and take it or leave it And take it or leave it, oh, just take it or leave it And take it or leave it, oh, take it Oh, that's right, he's gonna let you down He's gonna let you down, he's gonna let you down And gonna break your back for a chance And gonna steal your friends, if he can He's gonna win someday, oh, he will"
